Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2021-00011,2021-06-11,2021-06-12,Same Day,CG-37760,Customer 476,Home Office,Florida City,Florida,South,FUR-9835,Furniture,Tables,Barricks Manufacturing,5734.24,8,0.0,110.53
CA-2022-00012,2022-02-16,2022-02-22,First Class,CG-12757,Customer 302,Home Office,Michigan City,Michigan,Central,FUR-4770,Technology,Machines,Canon PC1060,5277.07,9,0.1,5.88
CA-2022-00013,2022-03-28,2022-03-29,Second Class,CG-80678,Customer 68,Consumer,California City,California,West,FUR-8744,Furniture,Chairs,Realspace Magellan,714.16,2,0.2,143.57
CA-2022-00014,2022-05-13,2022-05-20,Standard Class,CG-98259,Customer 335,Consumer,Tennessee City,Tennessee,South,FUR-2612,Furniture,Chairs,Staples Luxura,1169.22,6,0.5,337.58
CA-2021-00015,2021-05-05,2021-05-09,Second Class,CG-19880,Customer 227,Consumer,Texas City,Texas,Central,FUR-2604,Furniture,Tables,Barricks Manufacturing,1700.88,8,0.0,43.11
CA-2021-00016,2021-04-14,2021-04-20,Second Class,CG-59672,Customer 2,Consumer,California City,California,West,FUR-7396,Furniture,Furnishings,Tenex B1-RE24,1241.23,8,0.4,379.94
CA-2022-00017,2022-06-28,2022-07-05,Standard Class,CG-51104,Customer 30,Corporate,North Carolina City,North Carolina,South,FUR-1821,Technology,Copiers,Hewlett Packard 300,1986.84,4,0.0,319.15
CA-2023-00018,2023-09-04,2023-09-09,Second Class,CG-85880,Customer 305,Home Office,New York City,New York,East,FUR-1651,Furniture,Tables,Bretford CR4500,1507.32,10,0.1,123.15
CA-2021-00019,2021-06-17,2021-06-21,Standard Class,CG-11220,Customer 235,Consumer,Ohio City,Ohio,Central,FUR-2638,Technology,Machines,Hewlett Packard LaserJet,2383.16,5,0.2,252.02
CA-2021-00020,2021-05-31,2021-06-05,First Class,CG-90173,Customer 414,Corporate,New Jersey City,New Jersey,East,FUR-9666,Furniture,Bookcases,Sauder Classic Bookcase,1423.8,4,0.0,138.37
CA-2021-00021,2021-01-17,2021-01-23,First Class,CG-36685,Customer 352,Consumer,Texas City,Texas,Central,FUR-5325,Office Supplies,Binders,Avery Dennison,191.95,9,0.2,33.05
CA-2023-00022,2023-11-02,2023-11-06,First Class,CG-31178,Customer 380,Consumer,Texas City,Texas,Central,FUR-8239,Technology,Copiers,Canon imageCLASS,203.55,1,0.0,38.0
CA-2023-00023,2023-05-26,2023-05-31,Standard Class,CG-50404,Customer 187,Consumer,California City,California,West,FUR-1653,Technology,Accessories,Kensington SmartFit,1034.6,1,0.0,96.64
CA-2023-00024,2023-01-03,2023-01-05,Second Class,CG-64040,Customer 13,Corporate,New York City,New York,East,FUR-3938,Technology,Copiers,Lexmark MX611,3039.55,3,0.1,878.65
CA-2022-00025,2022-11-12,2022-11-19,Same Day,CG-55830,Customer 157,Corporate,Georgia City,Georgia,South,FUR-4728,Furniture,Chairs,Staples Luxura,595.46,1,0.1,-6.07
CA-2022-00026,2022-04-02,2022-04-03,First Class,CG-13617,Customer 60,Corporate,Massachusetts City,Massachusetts,East,FUR-5279,Office Supplies,Envelopes,Wausau Papers,124.02,5,0.4,25.52
CA-2022-00027,2022-01-01,2022-01-06,Second Class,CG-43386,Customer 23,Consumer,Texas City,Texas,Central,FUR-8144,Technology,Copiers,Canon imageCLASS,3818.34,6,0.0,280.03
CA-2021-00028,2021-01-04,2021-01-09,First Class,CG-76469,Customer 159,Corporate,Virginia City,Virginia,East,FUR-7691,Furniture,Bookcases,Bush Westfield,3237.72,6,0.0,724.89
CA-2022-00029,2022-10-31,2022-11-04,First Class,CG-63225,Customer 281,Consumer,Indiana City,Indiana,Central,FUR-1006,Furniture,Furnishings,Eldon Expressions,3838.24,7,0.0,679.3
CA-2022-00030,2022-09-15,2022-09-18,Second Class,CG-96356,Customer 44,Home Office,Massachusetts City,Massachusetts,East,FUR-5649,Technology,Machines,Canon PC1060,4623.55,8,0.1,601.19
CA-2023-00031,2023-11-22,2023-11-28,Same Day,CG-90120,Customer 436,Consumer,Texas City,Texas,Central,FUR-2193,Technology,Machines,Hewlett Packard LaserJet,1389.4,4,0.0,14.14
CA-2023-00032,2023-07-22,2023-07-26,Second Class,CG-33053,Customer 412,Corporate,Massachusetts City,Massachusetts,East,FUR-9486,Office Supplies,Paper,Xerox 1967,81.95,1,0.0,20.51
CA-2023-00033,2023-08-10,2023-08-11,Same Day,CG-90301,Customer 418,Corporate,New York City,New York,East,FUR-9270,Furniture,Furnishings,Eldon Expressions,4677.31,9,0.3,1531.9
CA-2023-00034,2023-05-24,2023-05-31,Same Day,CG-92149,Customer 123,Home Office,Georgia City,Georgia,South,FUR-5499,Office Supplies,Storage,Fiskars Box,249.57,4,0.2,61.05
CA-2023-00035,2023-06-20,2023-06-21,Second Class,CG-38043,Customer 33,Corporate,Illinois City,Illinois,Central,FUR-7797,Office Supplies,Pens,Pilot Precise,45.68,2,0.1,3.31
CA-2023-00036,2023-04-15,2023-04-18,Same Day,CG-72518,Customer 4,Consumer,Tennessee City,Tennessee,South,FUR-6763,Furniture,Furnishings,Tenex B1-RE24,7162.9,10,0.0,2045.22
CA-2022-00037,2022-09-04,2022-09-11,First Class,CG-97670,Customer 348,Home Office,Tennessee City,Tennessee,South,FUR-7624,Technology,Accessories,Logitech G700s,945.88,4,0.5,-82.23
CA-2021-00038,2021-12-05,2021-12-12,Same Day,CG-27786,Customer 444,Home Office,Georgia City,Georgia,South,FUR-8564,Technology,Phones,Motorola Smart,7643.9,10,0.0,-475.63
CA-2022-00039,2022-01-08,2022-01-09,Same Day,CG-43065,Customer 428,Corporate,Michigan City,Michigan,Central,FUR-2341,Furniture,Furnishings,Tenex B1-RE24,2162.77,6,0.4,54.54
CA-2023-00040,2023-08-22,2023-08-23,Standard Class,CG-91439,Customer 79,Consumer,Oregon City,Oregon,West,FUR-4908,Technology,Phones,Samsung Convoy,858.81,1,0.1,-8.84
CA-2021-00041,2021-09-16,2021-09-20,Second Class,CG-50768,Customer 56,Consumer,Arizona City,Arizona,West,FUR-1420,Office Supplies,Fasteners,Boston Office 1000,165.48,6,0.0,41.37
CA-2022-00042,2022-10-01,2022-10-06,Standard Class,CG-84177,Customer 401,Home Office,Tennessee City,Tennessee,South,FUR-1672,Furniture,Chairs,Global Leather Chair,897.2,2,0.2,253.58
CA-2022-00043,2022-12-13,2022-12-18,First Class,CG-93307,Customer 457,Consumer,North Carolina City,North Carolina,South,FUR-8532,Technology,Machines,Hewlett Packard LaserJet,7156.31,7,0.0,680.46
CA-2021-00044,2021-11-10,2021-11-14,Second Class,CG-21359,Customer 143,Home Office,New Jersey City,New Jersey,East,FUR-8385,Office Supplies,Labels,Mead Academie,319.17,8,0.2,14.37
CA-2022-00045,2022-05-15,2022-05-22,Second Class,CG-56507,Customer 409,Home Office,Alabama City,Alabama,South,FUR-5232,Technology,Copiers,Canon imageCLASS,486.02,1,0.3,-8.83
CA-2022-00046,2022-11-29,2022-12-02,Second Class,CG-72402,Customer 331,Consumer,Indiana City,Indiana,Central,FUR-9041,Technology,Accessories,Plantronics CS510,1840.14,4,0.5,275.71
CA-2023-00047,2023-07-07,2023-07-14,First Class,CG-65771,Customer 382,Corporate,California City,California,West,FUR-6419,Furniture,Furnishings,Eldon Expressions,885.86,4,0.3,100.07
CA-2022-00048,2022-12-22,2022-12-28,Same Day,CG-46241,Customer 371,Corporate,North Carolina City,North Carolina,South,FUR-9595,Office Supplies,Paper,Xerox 1967,154.68,4,0.0,-2.14
CA-2022-00049,2022-08-03,2022-08-04,Standard Class,CG-82529,Customer 150,Consumer,Virginia City,Virginia,East,FUR-3068,Office Supplies,Paper,Hammermill CopyPlus,68.1,1,0.0,1.6
CA-2023-00050,2023-10-03,2023-10-04,Same Day,CG-24953,Customer 421,Corporate,Arizona City,Arizona,West,FUR-2070,Office Supplies,Storage,Fiskars Box,172.98,6,0.0,2.36
CA-2023-00051,2023-04-01,2023-04-05,Second Class,CG-25525,Customer 286,Home Office,Arizona City,Arizona,West,FUR-7818,Technology,Phones,Cisco TelePresence,2426.74,3,0.2,-149.65
CA-2022-00052,2022-04-08,2022-04-15,Standard Class,CG-37235,Customer 321,Corporate,Tennessee City,Tennessee,South,FUR-4457,Office Supplies,Envelopes,Staples #10,265.3,7,0.0,46.25
CA-2022-00053,2022-06-26,2022-07-02,Second Class,CG-47762,Customer 362,Consumer,Washington City,Washington,West,FUR-5632,Furniture,Chairs,Global Leather Chair,190.16,1,0.5,5.91
CA-2023-00054,2023-07-19,2023-07-20,Second Class,CG-19359,Customer 31,Home Office,Virginia City,Virginia,East,FUR-3718,Technology,Accessories,Logitech G700s,1489.12,2,0.0,459.82
CA-2022-00055,2022-09-22,2022-09-27,Standard Class,CG-66626,Customer 377,Consumer,Michigan City,Michigan,Central,FUR-6280,Office Supplies,Fasteners,Boston Office 1000,299.95,7,0.5,29.09
CA-2022-00056,2022-05-28,2022-05-29,Same Day,CG-46458,Customer 93,Home Office,Washington City,Washington,West,FUR-8141,Technology,Phones,Samsung Convoy,3881.25,5,0.0,433.63
CA-2023-00057,2023-10-05,2023-10-06,Same Day,CG-47777,Customer 340,Corporate,North Carolina City,North Carolina,South,FUR-7561,Office Supplies,Pens,Pilot Precise,111.06,2,0.3,9.47
CA-2021-00058,2021-03-17,2021-03-21,Same Day,CG-64165,Customer 28,Corporate,Oregon City,Oregon,West,FUR-4073,Office Supplies,Binders,Ibico Hi-Tech,691.83,9,0.0,135.56
CA-2023-00059,2023-11-28,2023-12-01,Same Day,CG-25915,Customer 15,Consumer,Tennessee City,Tennessee,South,FUR-4920,Furniture,Bookcases,Bush Westfield,1057.2,3,0.5,313.33
CA-2021-00060,2021-11-21,2021-11-24,First Class,CG-76698,Customer 362,Corporate,Arizona City,Arizona,West,FUR-5479,Furniture,Tables,Bretford CR4500,5735.28,8,0.0,712.72
CA-2023-00061,2023-05-01,2023-05-08,First Class,CG-64387,Customer 175,Consumer,Tennessee City,Tennessee,South,FUR-9318,Office Supplies,Labels,Avery Labels,205.1,7,0.0,59.24
CA-2022-00062,2022-07-02,2022-07-09,Same Day,CG-80592,Customer 248,Home Office,Oregon City,Oregon,West,FUR-6654,Office Supplies,Envelopes,Staples #10,449.6,10,0.5,130.1
CA-2022-00063,2022-11-12,2022-11-17,Same Day,CG-59968,Customer 198,Corporate,Tennessee City,Tennessee,South,FUR-3492,Furniture,Tables,Barricks Manufacturing,1138.12,7,0.4,-91.46
CA-2023-00064,2023-10-12,2023-10-13,Second Class,CG-63736,Customer 446,Home Office,New Jersey City,New Jersey,East,FUR-3529,Office Supplies,Envelopes,Wausau Papers,89.92,8,0.5,-8.37
CA-2021-00065,2021-06-03,2021-06-07,Same Day,CG-80912,Customer 19,Home Office,Ohio City,Ohio,Central,FUR-2121,Technology,Copiers,Lexmark MX611,1262.12,2,0.4,415.7
CA-2022-00066,2022-04-26,2022-05-02,Standard Class,CG-52516,Customer 408,Home Office,Illinois City,Illinois,Central,FUR-1919,Furniture,Furnishings,Deflect-o Glazed,643.68,2,0.2,197.31
CA-2022-00067,2022-08-24,2022-08-27,Same Day,CG-91226,Customer 350,Consumer,Michigan City,Michigan,Central,FUR-4945,Furniture,Furnishings,Eldon Expressions,693.72,3,0.0,120.9
CA-2023-00068,2023-10-17,2023-10-22,Second Class,CG-19681,Customer 227,Corporate,Pennsylvania City,Pennsylvania,East,FUR-6661,Technology,Machines,Canon PC1060,2167.1,5,0.5,662.14
CA-2022-00069,2022-09-05,2022-09-11,First Class,CG-48696,Customer 12,Corporate,North Carolina City,North Carolina,South,FUR-7484,Office Supplies,Paper,Hammermill CopyPlus,110.4,8,0.4,17.37
CA-2022-00070,2022-07-17,2022-07-18,Second Class,CG-91381,Customer 129,Home Office,Arizona City,Arizona,West,FUR-3240,Office Supplies,Envelopes,Columbian Coin,169.48,4,0.3,-0.25
CA-2021-00071,2021-07-18,2021-07-24,Same Day,CG-33021,Customer 103,Corporate,Oregon City,Oregon,West,FUR-3165,Furniture,Bookcases,Bush Westfield,435.19,3,0.2,20.46
CA-2023-00072,2023-01-20,2023-01-25,Second Class,CG-39571,Customer 441,Corporate,Illinois City,Illinois,Central,FUR-7511,Office Supplies,Envelopes,Columbian Coin,225.96,6,0.5,75.31
CA-2023-00073,2023-01-20,2023-01-21,First Class,CG-24201,Customer 346,Corporate,Florida City,Florida,South,FUR-4830,Technology,Phones,Motorola Smart,4189.58,6,0.2,683.12
CA-2023-00074,2023-08-24,2023-08-25,Standard Class,CG-28320,Customer 24,Consumer,Indiana City,Indiana,Central,FUR-1609,Technology,Phones,Samsung Convoy,7100.1,8,0.2,1364.34
CA-2022-00075,2022-09-16,2022-09-20,Second Class,CG-64379,Customer 336,Consumer,California City,California,West,FUR-2622,Technology,Accessories,Logitech G700s,2740.85,8,0.4,450.33
CA-2023-00076,2023-09-30,2023-10-05,Standard Class,CG-99873,Customer 189,Consumer,North Carolina City,North Carolina,South,FUR-9920,Technology,Machines,Hewlett Packard LaserJet,4641.84,8,0.1,1322.7
CA-2023-00077,2023-01-05,2023-01-06,First Class,CG-41925,Customer 65,Consumer,North Carolina City,North Carolina,South,FUR-4362,Furniture,Furnishings,Deflect-o Glazed,2104.28,4,0.0,-162.53
CA-2021-00078,2021-05-21,2021-05-28,First Class,CG-32871,Customer 57,Consumer,New Jersey City,New Jersey,East,FUR-1422,Furniture,Bookcases,Sauder Classic Bookcase,1267.7,10,0.0,436.58
CA-2021-00079,2021-09-27,2021-09-28,Standard Class,CG-72422,Customer 230,Home Office,Illinois City,Illinois,Central,FUR-6931,Office Supplies,Binders,Avery Dennison,56.79,5,0.4,7.77
CA-2023-00080,2023-11-18,2023-11-23,Same Day,CG-62640,Customer 219,Home Office,Nevada City,Nevada,West,FUR-2768,Furniture,Chairs,Realspace Magellan,4216.72,8,0.0,-306.25
CA-2023-00081,2023-10-02,2023-10-08,First Class,CG-69469,Customer 259,Consumer,Florida City,Florida,South,FUR-8048,Office Supplies,Labels,Avery Labels,34.24,2,0.3,2.44
CA-2021-00082,2021-07-23,2021-07-30,Standard Class,CG-50966,Customer 219,Home Office,Arizona City,Arizona,West,FUR-6120,Furniture,Furnishings,Tenex B1-RE24,767.26,4,0.5,60.94
CA-2022-00083,2022-06-07,2022-06-10,Standard Class,CG-86869,Customer 490,Consumer,Massachusetts City,Massachusetts,East,FUR-6400,Furniture,Chairs,Hon 5400 Series,908.21,7,0.3,240.94
CA-2021-00084,2021-09-08,2021-09-12,Same Day,CG-39392,Customer 434,Home Office,Michigan City,Michigan,Central,FUR-2773,Furniture,Bookcases,Bush Westfield,1551.51,5,0.1,-47.12
CA-2022-00085,2022-12-19,2022-12-26,First Class,CG-13794,Customer 93,Corporate,Texas City,Texas,Central,FUR-5477,Technology,Accessories,Logitech G700s,10570.95,9,0.0,1839.85
CA-2022-00086,2022-09-25,2022-09-28,Second Class,CG-59308,Customer 215,Consumer,Texas City,Texas,Central,FUR-8432,Furniture,Furnishings,Deflect-o Glazed,1764.33,3,0.0,-103.58
CA-2022-00087,2022-11-30,2022-12-02,Standard Class,CG-98338,Customer 42,Home Office,Ohio City,Ohio,Central,FUR-5458,Office Supplies,Envelopes,Staples #10,213.7,10,0.0,-6.41
CA-2023-00088,2023-06-27,2023-07-03,Standard Class,CG-47125,Customer 348,Home Office,Tennessee City,Tennessee,South,FUR-8972,Office Supplies,Storage,Fiskars Box,286.48,4,0.0,15.85
CA-2023-00089,2023-12-16,2023-12-22,First Class,CG-47938,Customer 168,Consumer,Texas City,Texas,Central,FUR-2965,Office Supplies,Labels,Avery Labels,27.3,1,0.1,6.7
CA-2021-00090,2021-01-16,2021-01-20,Standard Class,CG-67176,Customer 10,Consumer,Georgia City,Georgia,South,FUR-8532,Office Supplies,Labels,Mead Academie,147.06,4,0.3,-9.94
CA-2021-00091,2021-06-09,2021-06-16,First Class,CG-32527,Customer 411,Corporate,Indiana City,Indiana,Central,FUR-8538,Technology,Copiers,Lexmark MX611,2055.98,7,0.4,-186.3
CA-2023-00092,2023-01-12,2023-01-13,Second Class,CG-53655,Customer 399,Consumer,Florida City,Florida,South,FUR-3754,Office Supplies,Labels,Fellowes Binding,150.48,9,0.2,35.45
CA-2021-00093,2021-06-06,2021-06-11,Second Class,CG-88957,Customer 79,Home Office,Arizona City,Arizona,West,FUR-2234,Furniture,Bookcases,O Sullivan 5-Shelf,818.01,3,0.0,12.42
CA-2021-00094,2021-12-29,2022-01-05,First Class,CG-29786,Customer 226,Home Office,Tennessee City,Tennessee,South,FUR-2118,Technology,Copiers,Lexmark MX611,5900.93,10,0.3,1704.84
CA-2023-00095,2023-08-19,2023-08-23,First Class,CG-47627,Customer 40,Home Office,Ohio City,Ohio,Central,FUR-2479,Furniture,Bookcases,Bush Westfield,319.0,2,0.5,-26.5
CA-2023-00096,2023-11-05,2023-11-09,Second Class,CG-18109,Customer 231,Home Office,Alabama City,Alabama,South,FUR-2695,Technology,Phones,Motorola Smart,5962.88,10,0.3,1027.12
CA-2022-00097,2022-12-05,2022-12-11,First Class,CG-60779,Customer 210,Home Office,Arizona City,Arizona,West,FUR-6543,Furniture,Chairs,Global Leather Chair,5954.96,8,0.0,379.65
CA-2021-00098,2021-04-18,2021-04-25,Second Class,CG-55851,Customer 159,Corporate,Texas City,Texas,Central,FUR-7421,Furniture,Furnishings,Tenex B1-RE24,2886.65,5,0.0,144.37
CA-2021-00099,2021-09-22,2021-09-27,Same Day,CG-76648,Customer 186,Home Office,Oregon City,Oregon,West,FUR-1298,Office Supplies,Fasteners,Boston Office 1000,195.78,3,0.0,37.34
CA-2023-00100,2023-01-13,2023-01-16,Standard Class,CG-76543,Customer 395,Corporate,Pennsylvania City,Pennsylvania,East,FUR-9843,Office Supplies,Paper,Xerox 1967,63.89,3,0.2,17.89
CA-2023-00101,2023-12-15,2023-12-16,Standard Class,CG-63852,Customer 187,Consumer,Indiana City,Indiana,Central,FUR-4891,Technology,Copiers,Hewlett Packard 300,1142.55,3,0.0,256.54
CA-2023-00102,2023-06-29,2023-07-04,Same Day,CG-70513,Customer 394,Consumer,Michigan City,Michigan,Central,FUR-5616,Technology,Accessories,Logitech G700s,7948.58,8,0.1,520.86
CA-2023-00103,2023-02-22,2023-02-27,Standard Class,CG-77621,Customer 436,Consumer,Georgia City,Georgia,South,FUR-3042,Technology,Accessories,Logitech G700s,588.83,1,0.3,88.06
CA-2022-00104,2022-08-07,2022-08-08,First Class,CG-13495,Customer 213,Corporate,Virginia City,Virginia,East,FUR-1872,Technology,Accessories,Logitech G700s,2063.54,2,0.1,552.03
CA-2023-00105,2023-03-23,2023-03-28,First Class,CG-29142,Customer 71,Corporate,Illinois City,Illinois,Central,FUR-1627,Furniture,Bookcases,Sauder Classic Bookcase,324.18,1,0.0,90.0
CA-2022-00106,2022-08-11,2022-08-18,Second Class,CG-81932,Customer 482,Home Office,Georgia City,Georgia,South,FUR-9647,Office Supplies,Storage,Iris Stacking,82.94,1,0.0,1.26
CA-2023-00107,2023-05-17,2023-05-18,Same Day,CG-88215,Customer 275,Corporate,Illinois City,Illinois,Central,FUR-1269,Furniture,Chairs,Global Leather Chair,1835.19,7,0.5,-131.65
CA-2023-00108,2023-11-22,2023-11-27,Standard Class,CG-78614,Customer 500,Corporate,Pennsylvania City,Pennsylvania,East,FUR-6908,Office Supplies,Binders,Cardinal Slant-D,118.94,6,0.4,-1.87
CA-2021-00109,2021-05-19,2021-05-24,First Class,CG-41604,Customer 376,Corporate,Nevada City,Nevada,West,FUR-2698,Furniture,Furnishings,Tenex B1-RE24,2072.25,5,0.3,528.08
CA-2022-00110,2022-11-12,2022-11-14,Same Day,CG-92802,Customer 94,Home Office,Oregon City,Oregon,West,FUR-3209,Office Supplies,Envelopes,Staples #10,115.92,3,0.5,39.57
CA-2021-00111,2021-05-10,2021-05-16,Same Day,CG-43202,Customer 19,Corporate,Florida City,Florida,South,FUR-4131,Furniture,Chairs,Global Leather Chair,257.8,1,0.2,34.01
CA-2022-00112,2022-08-09,2022-08-12,Second Class,CG-75038,Customer 355,Corporate,Oregon City,Oregon,West,FUR-9151,Furniture,Bookcases,O Sullivan 5-Shelf,2476.19,7,0.4,130.16
CA-2023-00113,2023-01-23,2023-01-30,First Class,CG-23447,Customer 41,Home Office,Texas City,Texas,Central,FUR-6372,Office Supplies,Binders,Ibico Hi-Tech,896.3,10,0.0,130.38
CA-2022-00114,2022-08-29,2022-09-01,First Class,CG-90589,Customer 223,Home Office,Alabama City,Alabama,South,FUR-5498,Office Supplies,Paper,Southworth 25%,330.96,8,0.0,75.15
CA-2021-00115,2021-04-28,2021-04-29,Standard Class,CG-40932,Customer 399,Home Office,North Carolina City,North Carolina,South,FUR-7001,Technology,Accessories,Plantronics CS510,1573.01,3,0.5,-132.67
CA-2023-00116,2023-01-12,2023-01-16,First Class,CG-62171,Customer 161,Consumer,Arizona City,Arizona,West,FUR-5566,Technology,Copiers,Canon imageCLASS,3863.64,6,0.0,611.48
CA-2022-00117,2022-05-27,2022-05-28,Second Class,CG-90199,Customer 147,Corporate,Washington City,Washington,West,FUR-9047,Technology,Copiers,Lexmark MX611,738.85,2,0.2,160.2
CA-2022-00118,2022-02-14,2022-02-15,First Class,CG-49315,Customer 436,Corporate,New York City,New York,East,FUR-3580,Furniture,Furnishings,Deflect-o Glazed,3254.4,6,0.0,480.02
CA-2021-00119,2021-12-23,2021-12-30,First Class,CG-71263,Customer 412,Consumer,Indiana City,Indiana,Central,FUR-3126,Furniture,Tables,Bretford CR4500,2475.92,4,0.0,154.51
CA-2021-00120,2021-06-26,2021-06-27,First Class,CG-94192,Customer 38,Home Office,Michigan City,Michigan,Central,FUR-8372,Technology,Copiers,Lexmark MX611,6784.12,7,0.0,-295.81
CA-2023-00121,2023-08-13,2023-08-19,Second Class,CG-49862,Customer 85,Home Office,Illinois City,Illinois,Central,FUR-3653,Technology,Accessories,Plantronics CS510,4920.02,7,0.0,1348.7
CA-2022-00122,2022-10-23,2022-10-29,First Class,CG-90534,Customer 274,Home Office,Virginia City,Virginia,East,FUR-2530,Office Supplies,Envelopes,Wausau Papers,118.88,5,0.2,-5.19
CA-2023-00123,2023-10-27,2023-11-02,Standard Class,CG-13718,Customer 42,Home Office,New Jersey City,New Jersey,East,FUR-1744,Furniture,Tables,Barricks Manufacturing,4027.8,10,0.3,1124.31
CA-2022-00124,2022-06-27,2022-07-03,Same Day,CG-48985,Customer 233,Corporate,New Jersey City,New Jersey,East,FUR-2195,Technology,Phones,Motorola Smart,3525.62,9,0.2,413.64
CA-2021-00125,2021-05-03,2021-05-05,First Class,CG-62260,Customer 67,Corporate,Tennessee City,Tennessee,South,FUR-7070,Office Supplies,Paper,Hammermill CopyPlus,180.46,10,0.3,41.58
CA-2023-00126,2023-11-21,2023-11-26,Same Day,CG-90658,Customer 215,Consumer,Oregon City,Oregon,West,FUR-5067,Office Supplies,Binders,Ibico Hi-Tech,268.72,8,0.0,-20.75
CA-2021-00127,2021-11-24,2021-12-01,First Class,CG-75191,Customer 12,Home Office,Indiana City,Indiana,Central,FUR-2475,Office Supplies,Paper,Xerox 1967,358.8,8,0.5,44.65
CA-2023-00128,2023-03-17,2023-03-22,Standard Class,CG-24089,Customer 221,Consumer,Georgia City,Georgia,South,FUR-3194,Technology,Machines,Hewlett Packard LaserJet,240.68,1,0.5,6.88
CA-2022-00129,2022-06-26,2022-07-02,Standard Class,CG-60639,Customer 259,Corporate,Michigan City,Michigan,Central,FUR-8378,Furniture,Furnishings,Deflect-o Glazed,3332.98,10,0.3,496.45
CA-2022-00130,2022-07-27,2022-08-03,Same Day,CG-75546,Customer 21,Consumer,Washington City,Washington,West,FUR-1742,Office Supplies,Pens,BIC Roller Glide,768.78,9,0.0,-8.01
CA-2021-00131,2021-03-21,2021-03-23,First Class,CG-87820,Customer 173,Home Office,Michigan City,Michigan,Central,FUR-9311,Office Supplies,Paper,Southworth 25%,160.52,9,0.3,-4.31
CA-2023-00132,2023-11-10,2023-11-15,First Class,CG-92478,Customer 14,Corporate,Alabama City,Alabama,South,FUR-8775,Office Supplies,Envelopes,Wausau Papers,239.04,6,0.0,81.5
CA-2022-00133,2022-06-28,2022-07-04,Second Class,CG-14138,Customer 294,Home Office,New York City,New York,East,FUR-2800,Office Supplies,Paper,Southworth 25%,438.6,10,0.4,-14.69
CA-2022-00134,2022-01-26,2022-01-27,Standard Class,CG-28098,Customer 266,Corporate,North Carolina City,North Carolina,South,FUR-4397,Furniture,Furnishings,Eldon Expressions,762.98,4,0.5,223.38
CA-2022-00135,2022-10-28,2022-11-03,First Class,CG-89963,Customer 248,Corporate,Alabama City,Alabama,South,FUR-4150,Office Supplies,Paper,Hammermill CopyPlus,256.22,9,0.3,52.3
CA-2022-00136,2022-05-20,2022-05-23,First Class,CG-47721,Customer 63,Corporate,Illinois City,Illinois,Central,FUR-9899,Office Supplies,Fasteners,Acco Binder,217.17,8,0.3,33.06
CA-2023-00137,2023-02-17,2023-02-21,Same Day,CG-38047,Customer 104,Corporate,Illinois City,Illinois,Central,FUR-9824,Furniture,Bookcases,Bush Westfield,341.48,2,0.5,66.65
CA-2022-00138,2022-07-10,2022-07-15,Standard Class,CG-23133,Customer 212,Consumer,Illinois City,Illinois,Central,FUR-6411,Technology,Accessories,Plantronics CS510,782.85,1,0.1,146.45
